aminn,amin
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata katanya
hallo,halo
kaka,kakak
ka,kak
daah,sudah
aaaaahhhh,ah
yaa,ya
smga,semoga
slalu,selalu
amiin,amin
kk,kakak
trus,terus
nyenengin,menyenangkan
bgt,banget
gemess,gemas
akuuu,saya
jgn,jangan
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,saya
saranin,menyarankan
nemuin,menemukan
yah,ya
mnis2nya,manis manisnya
gtu,begitu
tu,itu
idolaa,idola
bangett,banget
kaakk,kak
baaiikkk,baik
telaatt,terlambat
kaak,kak
yg,yang
lg,lagi
skarang,sekarang
sempet,sempat
karna,karena
ngga,tidak
mantep,mantap
loohhh,loh
yeee,ya
baguuuuus,bagus
sampe,sampai
ngikutin,mengikuti
gayany,gayanya
bnk,bang
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
pengen,ingin
kpan,kapan
sma,sama
sdkit,sedikit
bngt,sekali
lgu,lagu
bener2,benar benar
kharismanya,karismanya
aq,saya
jdi,jadi
lgi,lagi
gk,tidak
kek,seperti
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
lakik,laki
siippp,sip
bkn,bukan
nyangka,menyangka
bangettt,banget
kereeen,keren
wihhhhhh,wih
tp,tetapi
inget,ingat
bingitsss,banget
dmn,di mana
bird,biru
kaloo,kalau
gimna,bagaimana
tuuh,tuh
nyebur,tercebur
yng,yang
dbuat,dibuat
kn,kan
org,orang
pingin,ingin
bangcat,bangsat
yha,ya
waoohhh,wah
pngn,ingin
tmpt,tempat
dhe,deh
indahhh,indah
bgttt,sekali
tuhh,tuh
berarto,berarti
ga,tidak
aamiin,amin
amiiinn,amin
dgn,dengan
aminnnn2,amin
amiiiin,amin
aminnn,amin
amiend,amin
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
ngomong,bicara
mamer,memamerkan
keles,kali
jelase,jelas
liat,lihat
uwakk,uwak
ntar,nanti
bs,bisa
gini,begini
salfok,salah fokus
njir,astaga
piiink,pink
astgfrullah,astagfirullah
ko,kok
gbs,tidak bisa
bhs,bahasa
yaaaaaa,ya
gak,tidak
bangshad,bangsat
stagahhhh,astaga
kpn,kapan
dy,dia
d,ada
mslh,masalah
qt,kita
plampiasannn,pelampiasan
masalahh,masalah
tohh,toh
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,sekali
bkin,buat
dongg,dong
yokkk,ayo
yu,ayo
sweger,segar
gantengg,tampan
bingiit,sekali
kebukaaa,terbuka
tpi,tapi
keliatan,kelihatan
yakk,ya
kayakk,seperti
asliii,asli
kyk,seperti
cntiknya,cantiknya
bat,sekali
ngeliatnya,melihatnya
sll,selalu
bet,sekali
njerr,astaga
bingiiittttzzzz,sekali
klo,kalau
dooong,dong
masi,masih
gni,begini
hdk,hendak
jugaa,juga
mksud,maksud
aj,saja
tetep,tetap
mbakx,kakaknya
syantik,cantik
kite,kita
pa,apa
mksd,maksud
